idZonGlac,SUM_Shape_,q1_SN,q1_Max,q1_Min,q2_SN,q2_Max,q2_Min,SN_1718q1,G_1718q1,P_1718q1,SC_1718q1,niev_17q1,niev_18q1,SN_1819q1,G_1819q1,P_1819q1,SC_1819q1,SN_1920q1,G_1920q1,P_1920q1,SC_1920q1,niev_19q1,SN_2021q1,G_2021q1,P_2021q1,SC_2021q1,niev_20q1,niev_21q1,SN_1718q2,G_1718q2,P_1718q2,SC_1718q2,niev_17q2,SN_1819q2,G_1819q2,P_1819q2,SC_1819q2,niev_18q2,SN_1920q2,G_1920q2,P_1920q2,SC_1920q2,niev_19q2,niev_20q2,Nombre_Gla,X,Y
40,159.755,123.652,36.103,2.43,14.74,145.015,6.891,129.3,11.035,11.506,7.915,19.421,18.95,131.786,9.02,9.101,9.849,136.239,4.648,9.597,9.272,18.868,138.1,7.736,3.99,9.93,13.92,17.666,67.144,22.062,19.803,50.746,70.549,45.156,41.792,11.319,61.489,72.808,21.42,5.396,8.906,124.034,132.94,129.43,Complejo Glaciar PALENA || Lago Palena hasta frontera-5,-71.85171892,-43.9288245
41,54.515,40.858,13.657,0.243,8.431,46.084,2.402,43.479,10.793,0,0.243,0.243,11.036,42.741,0.738,4.999,6.037,42.562,5.177,0.154,6.622,6.776,42.611,0.105,4.82,6.979,11.799,7.084,28.734,5.413,4.487,15.881,20.368,17.463,15.759,2.394,18.899,21.293,10.996,5.68,4.707,33.133,37.839,38.813,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-7,-72.04696268,-43.92198606
51,1213.765,607.755,606.01,212.922,67.316,1146.449,314.408,668.303,180.855,107.849,256.758,364.608,437.614,706.384,69.768,88.898,348.716,696.693,98.588,47.277,371.206,418.483,686.726,57.244,92.785,377.009,469.795,434.253,290.449,191.674,79.742,651.9,731.642,220.657,149.534,101.9,741.674,843.574,87.721,30.477,64.565,1031.003,1095.568,1061.479,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-8,-72.01475298,-43.94498574
53,414.399,261.407,152.992,31.598,45.34,369.059,35.178,283.371,73.773,17.905,39.35,57.255,113.123,285.043,16.233,28.879,84.243,276.318,37.605,8.206,92.271,100.477,272.868,11.656,25.551,104.324,129.876,115.98,200.905,92.807,22.199,98.488,120.688,149.055,74.049,43.481,147.814,191.295,54.333,47.848,19.578,292.64,312.218,340.488,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-9,-72.08581335,-43.91755457
54,3.137,1.929,1.208,0,2.209,0.928,0,2.041,1.096,0,0,0,1.096,2.033,0.008,0.768,0.328,2.273,0.528,0,0.336,0.336,2.273,0,0.52,0.344,0.864,0.344,3.137,0,0,0,0,3.137,0,0,0,0,2.921,0.216,0,0,0,0.216,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-10,-71.97101799,-43.90206564
55,26.924,14.377,12.547,0.275,2.179,24.745,1.968,17.082,6.334,2.041,1.466,3.507,7.8,15.916,3.208,4.528,3.272,16.799,3.645,3.175,3.305,6.48,18.63,1.345,3.928,3.021,6.95,4.366,10.878,7.768,0.559,7.719,8.278,6.407,5.03,3.329,12.158,15.487,2.875,2.179,0.364,21.505,21.869,23.684,Complejo Glaciar PALENA || Lago Palena hasta frontera-6,-71.67932347,-43.90910086
56,74.172,52.083,22.089,0.138,6.07,68.102,2.954,56.652,16.652,0.414,0.454,0.868,17.107,54.826,2.24,10.282,6.825,56.887,8.221,2.621,6.443,9.065,57.203,2.305,8.261,6.403,14.664,8.708,41.355,12.846,2.021,17.951,19.971,22.739,20.637,6.208,24.589,30.797,6.695,11.386,0.406,55.686,56.092,67.071,Complejo Glaciar PALENA || Lago Palena hasta frontera-7,-71.68862882,-43.90903594
64,0.51,0.51,0,0,0.51,0,0,0.51,0,0,0,0,0,0.51,0,0,0,0.51,0,0,0,0,0.51,0,0,0,0,0,0.51,0,0,0,0,0.51,0,0,0,0,0.51,0,0,0,0,0,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-11,-72.15526447,-43.88022204
65,0.039,0.039,0,0,0.039,0,0,0.039,0,0,0,0,0,0.039,0,0,0,0.039,0,0,0,0,0.039,0,0,0,0,0,0.039,0,0,0,0,0.039,0,0,0,0,0.039,0,0,0,0,0,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-12,-72.124199,-43.87979581
71,33.84,30.152,3.688,0,10.091,23.749,0,30.914,2.805,0.073,0.049,0.122,2.853,30.639,0.349,2.116,0.738,31.668,1.086,0.478,0.608,1.086,31.198,0.948,0.705,0.989,1.694,1.937,33.703,0,0.138,0,0.138,25.597,8.243,0,0,0,10.286,14.841,0,8.713,8.713,23.555,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-13,-72.15852387,-43.87291257
74,0.028,0.028,0,0,0.028,0,0,0.028,0,0,0,0,0,0.028,0,0,0,0.028,0,0,0,0,0.028,0,0,0,0,0,0.028,0,0,0,0,0.028,0,0,0,0,0.028,0,0,0,0,0,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-14,-72.19575002,-43.86385384
78,3983.235,2127.565,1855.67,644.12,390.651,3592.584,819.104,2299.416,614.298,277.147,792.374,1069.522,1406.672,2354.686,221.877,306.345,1100.327,2369.614,291.418,180.365,1141.838,1322.204,2361.529,188.45,271.222,1162.034,1433.256,1350.484,1340.89,685.721,197.858,1758.766,1956.624,1010.412,528.336,309.138,2135.35,2444.487,477.043,291.84,189.002,3025.35,3214.352,3317.19,Complejo Glaciar PALENA || Lago Palena hasta frontera/Rio Palena entre arriba Rio Tranquilo y Rio Frio,-71.94722919,-43.90878882
90,6.602,0.915,5.687,0.033,0.163,6.438,0,1.193,5.36,0.008,0.041,0.049,5.401,0.931,0.27,1.512,3.889,2.116,0.327,0.572,3.587,4.159,1.969,0.719,0.261,3.652,3.914,4.371,3.963,2.639,0,0,0,3.448,0.515,2.157,0.482,2.639,0.278,0.515,0.106,5.703,5.809,6.218,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-15,-72.17884141,-43.8456246
97,1355.926,785.904,570.022,149.702,104.914,1251.012,210.363,863.039,252.7,60.661,179.525,240.187,432.225,864.094,59.606,94.299,337.926,859.525,98.868,36.681,360.852,397.533,843.019,53.187,77.549,382.171,459.72,435.358,524.934,254.826,95.833,480.333,576.165,353.662,267.105,107.925,627.235,735.159,140.077,78.101,92.514,1045.234,1137.748,1123.335,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-16,-72.12720503,-43.86968734
106,9.371,2.997,6.374,0,0.549,8.821,0,3.587,5.784,0,0,0,5.784,3.369,0.218,3.36,2.423,3.635,3.094,0.129,2.512,2.642,3.708,0.057,2.44,3.167,5.606,3.223,9.177,0.194,0,0,0,7.852,1.325,0.048,0.145,0.194,0.622,6.616,0.016,2.116,2.133,8.732,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-17,-71.99019904,-43.84216734
120,600.317,392.809,207.509,31.667,41.58,558.738,77.538,419.723,85.066,40.249,55.28,95.529,140.346,426.561,33.411,46,94.345,428.28,44.281,25.624,102.132,127.756,429.44,24.464,53.09,93.323,146.413,117.787,250.476,111.533,29.607,208.701,238.308,160.357,119.726,37.232,283.003,320.235,48.296,65.703,24.197,462.121,486.318,527.825,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-18,-72.02389998,-43.84695996
128,16.927,13.848,3.079,0,1.28,15.647,0.883,14.196,2.731,0,0,0,2.731,14.091,0.105,0.964,1.766,14.253,0.802,0.073,1.799,1.872,14.31,0.016,1.021,1.58,2.601,1.596,8.216,2.423,1.896,4.392,6.288,5.113,4.999,1.086,5.729,6.814,2.091,1.224,2.601,11.012,13.613,12.235,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-19,-72.1931938,-43.82443307
129,1935.432,1094.652,840.78,229.637,186.727,1748.704,291.019,1202.32,325.529,119.753,287.83,407.583,613.358,1193.628,128.445,131.668,481.691,1194.374,130.921,106.638,503.499,610.136,1211.791,89.22,121.766,512.654,634.42,601.874,842.671,323.281,133.583,635.897,769.48,600.892,375.362,156.811,802.366,959.178,226.699,200.314,124.396,1384.023,1508.419,1584.337,Complejo Glaciar PALENA || Lago Palena hasta frontera-/Rio Palena entre arriba Rio Tranquilo y Rio Frio/Rio Palena entre frontera y bajo Rio Salto o Tigre,-71.94870117,-43.85280677
130,17.754,4.288,13.466,0,1.088,16.666,0,4.67,13.084,0,0,0,13.084,4.581,0.089,5.027,8.057,8.747,0.861,1.592,6.554,8.146,8.512,1.827,0.512,6.903,7.415,8.731,15.521,2.233,0,0,0,14.578,0.942,1.941,0.292,2.233,1.226,10.176,0,6.351,6.351,16.528,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-20,-72.24733644,-43.81809961
132,627.22,255.554,371.665,169.112,49.31,577.91,153.422,280.412,128.515,32.224,186.068,218.292,314.583,287.973,24.663,50.965,263.618,301.303,37.635,24.412,263.87,288.281,286.245,39.469,25.564,275.942,301.505,315.411,241.836,98.628,37.903,248.853,286.756,185.37,94.368,47.736,299.745,347.481,69.267,30.991,52.652,474.309,526.961,505.3,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-21,-72.26020261,-43.83046536
133,1255.044,717.398,537.645,240.393,127.416,1127.628,296.602,777.438,207.387,18.682,251.536,270.218,458.923,757.96,38.16,66.743,392.18,761.961,62.742,26.7,403.64,430.34,757.766,30.896,61.346,405.035,466.382,435.932,482.402,161.68,105.171,505.791,610.962,399.606,187.966,107.833,559.638,667.471,152.533,86.927,111.03,904.553,1015.583,991.48,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-22,-72.1843122,-43.8528463
157,8.563,5.099,3.464,0,1.797,6.766,0,5.611,2.952,0,0,0,2.952,5.498,0.114,1.269,1.683,5.489,1.277,0.033,1.765,1.797,5.432,0.089,1.049,1.992,3.042,2.082,8.498,0.065,0,0,0,3.855,4.644,0,0.065,0.065,2.041,2.196,0,4.326,4.326,6.522,Complejo Glaciar PALENA || Rio Palena entre frontera y bajo Rio Salto o Tigre-1,-71.96282684,-43.80257894
179,7.281,2.598,4.683,0,1.914,5.367,0,3.404,3.877,0,0,0,3.877,3.339,0.065,3.07,0.806,2.916,3.494,0,0.871,0.871,2.916,0,2.663,1.702,4.365,1.702,6.972,0.309,0,0,0,5.107,1.865,0.033,0.277,0.309,3.062,3.087,0,1.132,1.132,4.219,Complejo Glaciar PALENA || Rio Palena entre frontera y bajo Rio Salto o Tigre-2,-71.98558345,-43.79230449
181,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Complejo Glaciar CHAITÉN || Rio Tictoc-1,-72.65398087,-43.77129915
185,2.431,2.246,0.186,0,0.081,2.351,0.008,2.246,0.186,0,0,0,0.186,2.246,0,0.178,0.008,2.399,0.024,0,0.008,0.008,2.359,0.04,0,0.032,0.032,0.073,1.389,0.267,0.178,0.598,0.775,0.549,1.018,0.145,0.719,0.864,0.105,0.412,0.073,1.842,1.914,2.254,Complejo Glaciar CHAITÉN || Rio Tictoc-2,-72.65445257,-43.76947531
188,420.579,192.058,228.521,75.63,53.677,366.902,88.526,209.093,98.086,26.782,86.619,113.4,184.705,219.7,16.175,42.486,142.219,236.459,25.727,17.343,141.051,158.394,233.772,20.03,22.456,144.321,166.777,164.351,189.298,52.874,34.273,144.135,178.407,174.398,49.173,33.98,163.028,197.008,72.286,51.202,41.147,255.944,297.091,307.146,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-23,-72.23622999,-43.80513834
190,41.362,34.633,6.729,1.212,2.351,39.011,2.844,35.61,3.288,1.107,1.357,2.464,4.645,36.224,0.493,1.874,2.771,36.378,1.721,0.202,3.062,3.264,36.354,0.226,1.769,3.013,4.783,3.24,14.461,7.998,5.485,13.419,18.904,13.766,6.18,5.566,15.85,21.416,4.548,1.099,5.259,30.456,35.715,31.555,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-24,-72.2261944,-43.78238488
193,4.994,4.898,0.097,0,4.994,0,0,4.898,0.097,0,0,0,0.097,4.898,0,0.097,0,4.994,0,0,0,0,4.994,0,0,0,0,0,4.994,0,0,0,0,4.994,0,0,0,0,4.994,0,0,0,0,0,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-25,-72.24361864,-43.77843839
195,2562.502,2265.799,296.703,8.467,189.411,2373.091,76.534,2312.443,194.939,34.63,20.489,55.119,215.429,2315.325,31.748,136.5,78.929,2361.174,90.651,25.993,84.684,110.677,2366.564,20.603,90.058,85.277,175.335,105.88,1016.438,401.69,170.058,974.315,1144.374,614.984,571.513,175.887,1200.118,1376.005,221.216,181.237,123.601,2036.448,2160.049,2217.685,Complejo Glaciar PALENA || Lago Palena hasta frontera/Rio Palena entre frontera y bajo Rio Salto o Tigre,-71.82129206,-43.84586998
198,1.898,1.859,0.04,0,0.096,1.803,0,1.867,0.032,0,0,0,0.032,1.859,0.008,0.008,0.024,1.867,0,0.008,0.024,0.032,1.874,0,0,0.024,0.024,0.024,1.013,0.04,0.295,0.55,0.846,0.55,0.758,0.152,0.439,0.59,0.183,0.303,0.215,1.196,1.412,1.5,Complejo Glaciar CHAITÉN || Rio Tictoc-3,-72.65497578,-43.76506427
199,4.877,4.877,0,0,4.877,0,0,4.877,0,0,0,0,0,4.877,0,0,0,4.877,0,0,0,0,4.877,0,0,0,0,0,4.877,0,0,0,0,4.877,0,0,0,0,4.877,0,0,0,0,0,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-26,-72.2359837,-43.77615265
204,32.567,7.155,25.412,2.159,4.811,27.757,0,8.142,20.714,1.156,2.555,3.711,23.269,8.279,1.019,5.878,17.391,12.896,1.261,3.97,14.44,18.41,13.842,3.024,1.399,14.303,15.702,17.327,26.172,6.395,0,0,0,25.105,1.067,6.056,0.34,6.395,4.867,4.156,0.493,23.051,23.544,27.207,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-27,-72.22256577,-43.7759243
206,7.088,5.918,1.171,0,2.683,4.406,0,6.089,1,0,0,0,1,6.089,0,0.91,0.089,6.91,0.089,0.016,0.073,0.089,6.113,0.813,0,0.163,0.163,0.975,7.04,0.024,0.016,0.008,0.024,5.292,1.764,0,0.033,0.033,2.756,3.357,0.016,0.959,0.975,4.317,Complejo Glaciar CHAITÉN || Rio Tictoc-4,-72.65822107,-43.76003327
208,9.975,3.683,6.292,0,0.951,9.024,0,3.943,6.032,0,0,0,6.032,3.878,0.065,3.626,2.406,5.91,1.593,0.228,2.244,2.471,5.569,0.569,0.585,3.252,3.837,3.821,9.918,0.057,0,0,0,4.097,5.821,0.008,0.049,0.057,0.976,3.187,0,5.813,5.813,8.999,Complejo Glaciar PALENA || Rio Palena entre Rio Salto y Rio Tranquilo,-72.0732014,-43.7771233
228,414.363,319.111,95.252,1.638,17.907,396.456,9.651,324.804,87.92,0,1.638,1.638,89.558,324.407,0.397,61.303,28.255,374.721,10.989,2.474,26.179,28.653,344.13,33.064,0.803,36.365,37.168,69.429,168.387,44.24,19.456,182.28,201.735,147.107,40.736,35.554,190.965,226.52,18.402,12.514,32.813,350.635,383.447,363.148,Complejo Glaciar CHAITÉN || Rio Tictoc-5,-72.68394972,-43.76337614
238,1501.62,982.037,519.582,113.419,117.33,1384.29,223.545,1034.768,309.09,24.881,132.881,157.762,441.971,1022.259,37.39,126.578,315.394,1075.2,73.636,35.662,317.121,352.784,1071.249,39.613,79.664,311.094,390.758,350.707,510.772,181.847,171.212,637.788,809,419.248,262.736,120.996,698.639,819.635,154.403,105.315,110.231,1131.67,1241.902,1236.986,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-28,-72.24821544,-43.77201846
239,1997.244,1442.267,554.976,126.077,114.34,1882.903,93.227,1513.076,318.866,19.58,145.722,165.301,464.588,1493.099,39.557,154.765,309.823,1591.996,55.868,52.202,297.178,349.38,1516.945,127.253,18.866,334.18,353.046,461.433,815.265,167.451,270.809,743.719,1014.527,761.936,324.138,157.012,754.157,911.169,128.105,161.887,110.674,1596.578,1707.252,1758.465,Complejo Glaciar CHAITÉN || Rio Tictoc-6,-72.60048578,-43.75332125
246,26.213,21.856,4.357,0,6.429,19.783,0,23.075,3.137,0,0,0,3.137,22.888,0.187,1.552,1.585,22.173,2.268,0.049,1.723,1.772,22.108,0.114,2.048,1.943,3.991,2.056,22.945,1.049,0.845,1.374,2.219,12.81,10.981,0.138,2.284,2.422,7.713,4.934,2.195,11.371,13.565,16.305,Complejo Glaciar PALENA || Rio Palena entre frontera y bajo Rio Salto o Tigre-3,-71.95029005,-43.74062956
247,700.801,585.858,114.943,11.997,59.359,641.442,59.001,603.796,65.576,10.836,20.592,31.428,86.169,602.262,12.37,37.443,48.725,604.251,35.454,9.57,51.526,61.096,606.321,7.5,40.479,46.501,86.98,54.001,271.752,62.126,97.118,269.804,366.922,163.847,205.024,27.062,304.869,331.931,71.388,25.503,57.143,546.767,603.91,572.271,Complejo Glaciar PALENA || Rio Palena entre frontera y bajo Rio Salto o Tigre-4,-71.74277798,-43.75794911
256,404.143,264.228,139.915,18.144,39.277,364.866,33.949,300.013,70.327,10.193,23.61,33.803,93.937,287.01,23.196,38.295,55.643,288.439,36.865,16.975,61.864,78.839,283.59,21.823,25.551,73.178,98.729,95.001,206.717,77.149,24.463,95.813,120.276,141.166,90.014,25.998,146.965,172.963,44.142,56.69,21.84,281.471,303.31,338.161,Complejo Glaciar PALENA || Rio Palena entre frontera y bajo Rio Salto o Tigre-6,-71.96427284,-43.74094365
257,7251.588,3883.718,3367.87,972.772,659.757,6591.831,1327.54,4253.646,1608.483,245.528,1143.931,1389.459,2752.414,4192.732,306.441,683.356,2069.058,4297.103,578.985,227.033,2148.466,2375.5,4220.641,303.496,466.637,2260.814,2727.452,2564.31,2834.517,1141.992,546.549,2728.531,3275.08,1932.916,1448.149,369.278,3501.245,3870.523,787.889,653.597,338.659,5471.442,5810.101,6125.04,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-/Rio Palena entre frontera y bajo Rio Salto o Tigre/Rio Palena entre Rio Salto y Rio Tranquilo,-72.02233015,-43.78411892
313,40.747,37.618,3.129,0,3.772,36.975,0,37.853,2.894,0,0,0,2.894,37.837,0.016,2.585,0.309,38.91,1.512,0,0.325,0.325,38.877,0.033,1,0.837,1.837,0.87,28.4,7.657,3.804,0.886,4.69,13.338,18.866,2.699,5.844,8.543,4.145,6.608,3.219,26.774,29.993,33.383,Complejo Glaciar PALENA || Rio Palena entre frontera y bajo Rio Salto o Tigre-7,-71.86788581,-43.71375367
335,300.907,272.083,28.824,0.024,19.189,281.718,2.524,277.27,23.597,0.016,0.024,0.041,23.621,276.783,0.503,12.135,11.486,285.087,3.831,1.063,10.926,11.989,277.148,9.002,0.544,14.213,14.757,23.215,163.06,25.48,49.588,62.779,112.367,152.134,60.514,24.539,63.721,88.259,21.048,76.108,33.776,169.976,203.752,246.083,Complejo Glaciar CHAITÉN || Rio Tictoc-7,-72.57756995,-43.68444633
361,3.627,1.228,2.399,0,0.711,2.916,0,1.357,2.27,0,0,0,2.27,1.26,0.097,0.767,1.502,1.632,0.396,0.032,1.567,1.599,1.543,0.121,0.089,1.874,1.963,1.995,3.489,0.137,0,0,0,1.809,1.68,0.016,0.121,0.137,0.735,1.187,0.016,1.688,1.704,2.875,Complejo Glaciar PALENA || Rio Palena entre frontera y bajo Rio Salto o Tigre-8,-72.01066621,-43.68600975
401,1615.849,1029.628,586.222,84.293,153.505,1462.344,171.59,1106.048,262.23,127.369,120.202,247.571,382.432,1169.099,64.318,139.366,243.067,1197.865,110.6,54.74,252.644,307.384,1186.615,65.99,87.646,275.599,363.244,341.589,672.357,272.993,110.819,559.68,670.499,445.346,337.83,103.725,728.948,832.673,174.901,112.386,98.895,1229.667,1328.562,1342.053,Complejo Glaciar PALENA || Rio Palena entre frontera y bajo Rio Salto o Tigre-9,-71.92239797,-43.71842947
402,1452.722,721.411,731.312,233.261,125.874,1326.848,268.475,775.258,214.96,168.173,294.331,462.504,509.291,882.556,60.876,136.011,373.281,902.366,116.2,51.567,382.589,434.156,880.324,73.609,73.463,425.326,498.79,498.936,485.066,236.036,118.107,613.513,731.62,378.345,224.829,104.538,745.011,849.549,154.092,114.228,85.864,1098.538,1184.402,1212.766,Complejo Glaciar PALENA || Rio Palena entre frontera y bajo Rio Salto o Tigre/Rio Palena entre Rio Salto y Rio Tranquilo - 1,-72.03203039,-43.70361296
407,400.859,364.258,36.601,0,27.139,373.72,0.146,370.12,30.739,0,0,0,30.739,369.909,0.211,23.725,7.014,389.11,4.524,0.722,6.503,7.225,372.091,17.741,0.065,10.962,11.027,28.703,264.964,35.563,35.425,64.907,100.332,229.741,70.648,30.349,70.121,100.47,28.647,83.313,27.528,261.372,288.899,344.684,Complejo Glaciar CHAITÉN || Rio Tictoc-8,-72.64540245,-43.66387608
408,3.521,2.184,1.337,0,2.176,1.345,0,2.632,0.888,0,0,0,0.888,2.559,0.073,0.293,0.595,2.233,0.619,0,0.668,0.668,2.233,0,0.562,0.725,1.288,0.725,3.521,0,0,0,0,3.358,0.163,0,0,0,3.317,0.049,0,0.155,0.155,0.204,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-29,-72.22195681,-43.66321949
410,948.054,741.816,206.239,19.525,73.146,874.908,50.707,757.939,64.5,75.103,50.512,125.615,115.013,807.306,25.735,60.076,54.937,824.98,42.402,23.746,56.926,80.672,823.438,25.289,35.031,64.297,99.328,89.586,397.15,151.448,81.005,318.451,399.456,271.803,206.353,79.763,390.136,469.899,90.211,54.734,77.701,725.408,803.109,780.142,Complejo Glaciar PALENA || Rio Palena entre frontera y bajo Rio Salto o Tigre-10,-71.86388963,-43.70311552
