idZonGlac,SUM_Shape_,q1_SN,q1_Max,q1_Min,q2_SN,q2_Max,q2_Min,SN_1718q1,G_1718q1,P_1718q1,SC_1718q1,niev_17q1,niev_18q1,SN_1819q1,G_1819q1,P_1819q1,SC_1819q1,SN_1920q1,G_1920q1,P_1920q1,SC_1920q1,niev_19q1,SN_2021q1,G_2021q1,P_2021q1,SC_2021q1,niev_20q1,niev_21q1,SN_1718q2,G_1718q2,P_1718q2,SC_1718q2,niev_17q2,SN_1819q2,G_1819q2,P_1819q2,SC_1819q2,niev_18q2,SN_1920q2,G_1920q2,P_1920q2,SC_1920q2,niev_19q2,niev_20q2,Nombre_Gla,X,Y
2,836.412,545.187,291.225,44.553,107.737,728.675,74.046,580.493,76.985,96.03,82.903,178.934,159.888,602.161,74.363,52.314,107.575,604.686,49.789,59.417,122.52,181.937,621.401,42.702,42.442,129.867,172.309,172.569,344.919,207.648,26.839,257.007,283.845,263.452,108.305,102.882,361.772,464.654,127.74,74.249,47.427,586.996,634.423,661.245,Complejo Glaciar PALENA || Lago Palena hasta frontera-1,-71.79393069,-44.00542746
7,400.442,266.32,134.122,13.966,33.957,366.485,30.165,280.651,22.678,58.219,38.894,97.112,61.572,300.212,38.658,26.503,35.069,310.272,16.443,36.23,37.497,73.727,326.414,20.088,17.823,36.117,53.94,56.205,152.936,92.752,25.723,129.031,154.755,103.251,75.408,48.053,173.73,221.783,42.897,27.339,28.59,301.617,330.206,328.956,Complejo Glaciar PALENA || Lago Palena hasta frontera-2,-71.79578963,-43.97574703
15,43.429,28.537,14.893,1.062,6.583,36.847,4.086,30.815,3.51,6.34,2.765,9.104,6.275,33.798,3.356,1.378,4.897,33.563,1.613,2.748,5.505,8.253,33.174,3.137,3.032,4.086,7.118,7.223,16.757,7.377,4.313,14.982,19.295,15.152,5.918,5.505,16.855,22.359,9.12,0.113,8.042,26.153,34.196,26.267,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-1,-71.96227699,-43.95723942
18,3.108,2.627,0.481,0,1.485,1.624,0.016,3.002,0.106,0,0,0,0.106,2.815,0.188,0.016,0.09,2.643,0.188,0,0.277,0.277,2.643,0,0.359,0.106,0.465,0.106,2.513,0.22,0.139,0.237,0.375,2.007,0.645,0.082,0.375,0.457,1.509,0.383,0.041,1.175,1.216,1.558,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-2,-72.09297043,-43.94876143
26,210.67,124.4,86.27,25.144,42.831,167.839,30.032,137.41,32.65,12.118,28.492,40.61,61.142,138.155,11.372,12.961,48.181,135.967,15.15,5.755,53.798,59.553,137.126,4.596,15.523,53.425,68.948,58.021,93.006,30.948,21.594,65.122,86.716,92.317,22.283,25.42,70.65,96.07,54.001,12.207,24.447,120.015,144.462,132.222,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-3,-72.07479113,-43.94833674
28,5.478,3.115,2.363,0,3.393,2.085,0,3.287,2.191,0,0,0,2.191,3.287,0,1.504,0.687,3.524,1.267,0.008,0.679,0.687,3.516,0.016,0.63,1.316,1.946,1.333,5.478,0,0,0,0,4.742,0.736,0,0,0,4.341,0.458,0.025,0.654,0.679,1.112,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-4,-72.0360543,-43.94019312
31,183.474,155.6,27.874,2.225,18.334,165.14,9.354,161.056,13.616,5.391,3.41,8.801,17.026,164.028,2.42,7.722,9.305,163.216,8.533,1.892,9.833,11.724,162.826,2.282,6.544,11.822,18.366,14.103,95.93,26.323,16.653,44.567,61.22,79.943,32.64,14.729,56.162,70.89,25.397,17.392,14.428,126.256,140.684,143.648,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-5,-72.09795626,-43.93989006
32,4.143,2.614,1.529,0,1.48,2.664,0.016,2.812,1.291,0.041,0,0.041,1.291,2.647,0.206,0.46,0.83,2.853,0.255,0.189,0.847,1.036,2.992,0.049,0.518,0.584,1.102,0.633,3.264,0.625,0.041,0.214,0.255,2.343,0.962,0.247,0.592,0.839,1.529,0.526,0.074,2.014,2.088,2.54,Complejo Glaciar PALENA || Lago Palena hasta frontera-3,-71.89892542,-43.93702129
33,30.976,19.07,11.906,1.85,2.859,28.117,2.787,21.073,5.751,1.325,2.827,4.152,8.578,20.403,1.995,3.788,4.79,21.299,2.892,1.535,5.25,6.785,20.944,1.89,1.567,6.575,8.142,8.465,16.049,5.961,0.493,8.473,8.966,8.521,8.021,2.504,11.93,14.434,3.142,5.25,0.25,22.333,22.584,27.583,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-6,-71.96772104,-43.93802087
38,1.904,0.711,1.193,0.057,0.098,1.806,0.302,0.924,0.09,0.695,0.196,0.891,0.286,0.989,0.629,0.098,0.188,0.891,0.196,0.58,0.237,0.817,1.103,0.368,0.114,0.319,0.433,0.687,0.515,0.564,0.18,0.646,0.825,0.409,0.286,0.384,0.825,1.21,0.262,0.065,0.074,1.504,1.577,1.569,Complejo Glaciar PALENA || Lago Palena hasta frontera-4,-71.87076818,-43.92803024
